Spice Priority,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Email,Rating,Price Level,Reviews Count,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
MEDIUM,Chopstix,noodle,"High Road, London, N2 8, London",N2 8,,,,,,,51.5933938,-0.1074332,OpenStreetMap,False,,
MEDIUM,Chriskitch,cafe,"7A, Tetherdown, London, N2 0, London",N2 0,,,,,,,51.592165,-0.1496825,OpenStreetMap,False,,
MEDIUM,Ciabo Food,coffee_shop,"40, Quernmore Road, London, N4 0, London",N4 0,+44 2083 401708,https://ciabofood.co.uk/,,,,,51.5773419,-0.1061693,OpenStreetMap,False,,
MEDIUM,Cleopatra Shisha Lounge,cafe,"21, Turnpike Lane, London, N2 8, London",N2 8,,https://cleopatra-shisha-lounge.business.site/,,,,,51.5897101,-0.1053423,OpenStreetMap,False,,
MEDIUM,Cloud7,coffee_shop,"40a, Tottenham Lane, London, N2 8, London",N2 8,,,,,,,51.5865912,-0.1124163,OpenStreetMap,False,,
MEDIUM,Co-op Food,supermarket,"Green Lanes, London, N4 4, London",N4 4,+44 20 8802 8774,https://www.coop.co.uk/store-finder/N4-2LX/green-lanes,,,,,51.5702582,-0.095911,OpenStreetMap,False,,
MEDIUM,Cobbs Bakery,sandwich,"3, High Street, London, N2 8, London",N2 8,,,,,,,51.5877097,-0.1189855,OpenStreetMap,False,,
MEDIUM,Coffee Circus,coffee_shop,"136, Crouch Hill, N4 0, London",N4 0,,http://www.coffeecircus.co.uk/,,,,,51.5779032,-0.1234697,OpenStreetMap,False,,
MEDIUM,Cornelius Restaurant,romanian,"N2 8, Haringey, London",N2 8,,,,,,,51.5883919,-0.1148581,OpenStreetMap,False,,
MEDIUM,Costa,coffee_shop,"679, Green Lanes, London, N2 8, London",N2 8,,,,,,,51.590466,-0.1037287,OpenStreetMap,False,,
MEDIUM,Costa,coffee_shop,"High Road, London, N2 8, London",N2 8,,,,,,,51.5937504,-0.1081908,OpenStreetMap,False,,
MEDIUM,Costa,coffee_shop,"N4 4, Haringey, London",N4 4,,,,,,,51.5765301,-0.0976654,OpenStreetMap,False,,
MEDIUM,Costa,coffee_shop,"421, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5785697,-0.09916,OpenStreetMap,False,,
MEDIUM,Crepe Station,fast_food,"N2 8, Haringey, London",N2 8,,,,,,,51.5906974,-0.1032356,OpenStreetMap,False,,
MEDIUM,Devran Kitchen,restaurant,"485-487, Green Lanes, Harringay, London, N4 4, London",N4 4,+44 20 8347 7249,https://devrankitchen.co.uk,,,,,51.5806191,-0.0995653,OpenStreetMap,False,,
MEDIUM,Dilekkaya Food Market,convenience,"382, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.574922,-0.0980098,OpenStreetMap,False,,
MEDIUM,Dixy,chicken,"N2 8, Haringey, London",N2 8,,,,,,,51.5975416,-0.1100237,OpenStreetMap,False,,
MEDIUM,Dobar,cafe,"324, Green Lanes, London, N4 4, London",N4 4,+44 20 7686 3257,https://dobar.co.uk,,,,,51.5714342,-0.0961337,OpenStreetMap,False,,
MEDIUM,Domino's,pizza,"N2 0, Haringey, London",N2 0,,,,,,,51.589609,-0.1637662,OpenStreetMap,False,,
MEDIUM,Domino's,pizza,"151, Tottenham Lane, London, N4 0, London",N4 0,,,,,,,51.5821737,-0.1193747,OpenStreetMap,False,,
MEDIUM,Doppio Coffee,coffee_shop,"56, Fortis Green Road, London, N2 0, London",N2 0,,,,,,,51.5901341,-0.1459821,OpenStreetMap,False,,
MEDIUM,Double Apple Kitchen,cafe,"37, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.589589,-0.1059578,OpenStreetMap,False,,
MEDIUM,Dusty Knuckle Bakery,restaurant,"429, Green Lanes, London, N4 4, London",N4 4,+44 7759 840150,https://www.thedustyknuckle.com/harringay,,,,,51.5788729,-0.0992191,OpenStreetMap,False,,
MEDIUM,El's Olive Cafe,cafe,"12, High Street, London, N2 8, London",N2 8,,,,,,,51.58711,-0.121031,OpenStreetMap,False,,
MEDIUM,Emba Soira,eritrean,"10, Crouch Hill, London, N4 0, London",N4 0,,,,,,,51.5708365,-0.1157242,OpenStreetMap,False,,
MEDIUM,Emy's Kitchen,cafe,"21, Crouch Hill, London, N4 0, London",N4 0,,,,,,,51.5706971,-0.1165449,OpenStreetMap,False,,
MEDIUM,Fasil Meyhan,tapas;bolivian;peruvian;cuban;spanish,"14, High Street, London, N2 8, London",N2 8,,,,,,,51.587127,-0.120958,OpenStreetMap,False,,
MEDIUM,Fasta,pasta,"82, Fortis Green Road, London, N2 0, London",N2 0,+44 20 8154 5593,https://www.fasta.co.uk,,,,,51.5902684,-0.1462781,OpenStreetMap,False,,
MEDIUM,Finsbury Breakfast,cafe,"194, Stroud Green Road, N4 0, London",N4 0,,,,,,,51.5705589,-0.1145325,OpenStreetMap,False,,
MEDIUM,Finsbury Park Cafe,coffee_shop,"Endymion Road, London, N4 4, London",N4 4,,https://www.finsburyparkcafe.co.uk/,,,,,51.570018,-0.1034404,OpenStreetMap,False,,
MEDIUM,Finsbury Park Cafe,coffee_shop,"Endymion Road, London, N4 4, London",N4 4,,,,,,,51.5701492,-0.1036468,OpenStreetMap,False,,
MEDIUM,Firezza,pizza,"10, Ferme Park Road, London, N4 0, London",N4 0,+44 20 8341 0099,https://www.firezza.com/,,,,,51.5740924,-0.112427,OpenStreetMap,False,,
MEDIUM,Five Guys,burger,"N2 8, Haringey, London",N2 8,,https://restaurants.fiveguys.co.uk/greater-london/unit-12,,,,,51.5946692,-0.1085206,OpenStreetMap,False,,
MEDIUM,Flame n Taste,fast_food,"N4 0, Haringey, London",N4 0,,,,,,,51.5706432,-0.116114,OpenStreetMap,False,,
MEDIUM,Food Hall,convenience,"22-24, Turnpike Lane, London, N2 8, London",N2 8,+44 2088 892 264,,,,,,51.5900614,-0.1049941,OpenStreetMap,False,,
MEDIUM,Froth & Mallow,coffee_shop,"2A, Mary Neuner Road, London, N2 8, London",N2 8,,https://frothandmallow.co.uk/,,,,,51.5921005,-0.1130437,OpenStreetMap,False,,
MEDIUM,Fryer's Delight,fish_and_chips,"N2 8, Haringey, London",N2 8,,,,,,,51.5973377,-0.1092322,OpenStreetMap,False,,
MEDIUM,GAIL's,cafe,"70, Fortis Green Road, London, N2 0, London",N2 0,,https://gails.com/pages/muswell-hill,,,,,51.5902012,-0.1461301,OpenStreetMap,False,,
MEDIUM,George's Fish Bar,fish_and_chips,"444, St Ann's Road, London, N4 4, London",N4 4,+44 20 8802 1792,,,,,,51.582468,-0.0988336,OpenStreetMap,False,,
MEDIUM,Get In Food Market,convenience,"N2 8, Haringey, London",N2 8,,,,,,,51.5907493,-0.1026412,OpenStreetMap,False,,
MEDIUM,Gogan Burgers,burger,"2, Campsbourne Parade, London, N2 8, London",N2 8,,,,,,,51.587624,-0.1196058,OpenStreetMap,False,,
MEDIUM,GoodsOffice,restaurant,"N4 0, Haringey, London",N4 0,,,,,,,51.5736243,-0.1124945,OpenStreetMap,False,,
MEDIUM,Green Garden Cafe,cafe,"36, High Street, London, N2 8, London",N2 8,+44 2083 401 918,https://green-garden-cafe.edan.io,,,,,51.5873568,-0.1198847,OpenStreetMap,False,,
MEDIUM,Greens Food,convenience,"74-75, Grand Parade, London, N4 4, London",N4 4,,,,,,,51.5775669,-0.0986056,OpenStreetMap,False,,
MEDIUM,Greggs,sandwich;bakery,"High Road, London, N2 8, London",N2 8,,,,,,,51.5913349,-0.104577,OpenStreetMap,False,,
MEDIUM,Greggs,sandwich;bakery,"N4 4, Haringey, London",N4 4,,https://www.greggs.com/shops/harringay/u4a-arena-shopping-park/5733,,,,,51.5762291,-0.0976289,OpenStreetMap,False,,
MEDIUM,Grill 51,burger,"51, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5895053,-0.1064889,OpenStreetMap,False,,
MEDIUM,Hanedan,restaurant,"5-6, Grand Parade, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5818758,-0.0994241,OpenStreetMap,False,,
MEDIUM,Harringay Food Centre,supermarket,"450, St Ann's Road, London, N4 4, London",N4 4,,,,,,,51.5825092,-0.099084,OpenStreetMap,False,,
MEDIUM,Harvest Cafe,cafe,"N2 8, Haringey, London",N2 8,,,,,,,51.5908128,-0.1024554,OpenStreetMap,False,,
MEDIUM,Il Bibo's,italian,"High Road, London, N2 8, London",N2 8,,,,,,,51.5929189,-0.1061893,OpenStreetMap,False,,
MEDIUM,Il Picolo Diavolo,italian,"147, Stroud Green Road, N4 0, London",N4 0,,https://www.ilpiccolodiavolo.co.uk/,,,,,51.5698146,-0.1136177,OpenStreetMap,False,,
MEDIUM,Islands,sandwich;british,"104, High Street, London, N2 8, London",N2 8,+44 7931 038 003,,,,,,51.5876487,-0.116173,OpenStreetMap,False,,
MEDIUM,Ivie & Co.,restaurant,"125, Tottenham Lane, N4 0, London",N4 0,,,,,,,51.5826259,-0.1182159,OpenStreetMap,False,,
MEDIUM,JI,chicken,"High Road, London, N2 8, London",N2 8,,,,,,,51.5931518,-0.1065568,OpenStreetMap,False,,
MEDIUM,KFC,chicken,"208, High Road, London, N2 8, London",N2 8,,,,,,,51.5978974,-0.1102464,OpenStreetMap,False,,
MEDIUM,KFC,chicken,"399, Green Lanes, London, N4 4, London",N4 4,+44 20 3601 9488,https://kfc.co.uk,,,,,51.577857,-0.0990383,OpenStreetMap,False,,
MEDIUM,Kabana,afghan,"17, High Street, London, N2 8, London",N2 8,,,,,,,51.587838,-0.118205,OpenStreetMap,False,,
MEDIUM,Karamel,mediterranean;international,"4, Coburg Road, N2 8, London",N2 8,,,,,,,51.5944758,-0.1124687,OpenStreetMap,False,,
MEDIUM,Kervan,restaurant,"N2 8, Haringey, London",N2 8,,,,,,,51.5950892,-0.1091686,OpenStreetMap,False,,
MEDIUM,Kofteci Metin @ Oasis,restaurant,"388, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5750738,-0.0980796,OpenStreetMap,False,,
MEDIUM,La Cucina,pizza,"22, High Street, London, N2 8, London",N2 8,,,,,,,51.5872014,-0.1206337,OpenStreetMap,False,,
MEDIUM,La Dinette,cafe,"3-5, Fortis Green Road, London, N2 0, London",N2 0,,https://www.ladinette.co.uk,,,,,51.5898689,-0.1461746,OpenStreetMap,False,,
MEDIUM,La Gioconda,italian,"59, High Street, London, N2 8, London",N2 8,+44 2083 475 777,https://www.lagioconda.co.uk,,,,,51.5879569,-0.1166271,OpenStreetMap,False,,
MEDIUM,La Roata,romanian,"30, High Street, London, N2 8, London",N2 8,,,,,,,51.587322,-0.1201095,OpenStreetMap,False,,
MEDIUM,La Viña,spanish,"3, Wightman Road, London, N4 0, London",N4 0,+44 20 8340 5400,,,,,,51.5778051,-0.1043561,OpenStreetMap,False,,
MEDIUM,Le Chamarel,mauritian,"27, Turnpike Lane, London, N2 8, London",N2 8,,https://www.lechamarel.co.uk/,,,,,51.5896604,-0.105547,OpenStreetMap,False,,
MEDIUM,Le Petit Cafe N8,cafe,"278A, Wightman Road, London, N2 8, London",N2 8,,,,,,,51.5868851,-0.1083323,OpenStreetMap,False,,
MEDIUM,Les 2 Garcons,french,"N4 0, Haringey, London",N4 0,,,,,,,51.5772998,-0.1233899,OpenStreetMap,False,,
MEDIUM,Lucia,cafe,"N2 8, Haringey, London",N2 8,,,,,,,51.5960627,-0.1088857,OpenStreetMap,False,,
MEDIUM,Luka Caffe,cafe,"1, High Street, London, N2 8, London",N2 8,,https://www.caffeluka.co.uk,,,,,51.5876972,-0.1190559,OpenStreetMap,False,,
MEDIUM,Lunablu,pizza,"176-178, Fortis Green Road, London, N2 0, London",N2 0,,https://www.lunablupizzeria.co.uk/muswellhill,,,,,51.5910213,-0.1479236,OpenStreetMap,False,,
MEDIUM,Lydia Brasserie,cafe,"N4 0, Haringey, London",N4 0,,,,,,,51.5776144,-0.1231437,OpenStreetMap,False,,
MEDIUM,Manor Chicken,chicken,"277a, Seven Sisters Road, London, N4 4, London",N4 4,,,,,,,51.5711,-0.0954777,OpenStreetMap,False,,
MEDIUM,Manor Food,convenience,"320, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.571338,-0.0960849,OpenStreetMap,False,,
MEDIUM,Max's Sandwhich Shop,sandwich,"19, Crouch Hill, London, N4 0, London",N4 0,0207 263 8759,,,,,,51.5706886,-0.1164631,OpenStreetMap,False,,
MEDIUM,McDonald's,burger,"High Road, London, N2 8, London",N2 8,+44 20 8888 1120,,,,,,51.5929728,-0.1068298,OpenStreetMap,False,,
MEDIUM,McDonald's,burger,"180, High Road, London, N2 8, London",N2 8,+44 20 8881 2138,https://www.mcdonalds.com/gb/en-gb/location/wood-green/wood-green---spouters-corner/unit-3-hollywood-green/8261067.html,,,,,51.5968262,-0.1089379,OpenStreetMap,False,,
MEDIUM,McDonald's,burger,"Williamson Road, London, N4 4, London",N4 4,+44 20 8880 2665,,,,,,51.5768647,-0.09806,OpenStreetMap,False,,
MEDIUM,Metros Chicken,fried_chicken,"102, High Street, London, N2 8, London",N2 8,,,,,,,51.5876465,-0.1162521,OpenStreetMap,False,,
MEDIUM,Mitchelle’s Goodies & More,crepe,"21, High Street, London, N2 8, London",N2 8,,,,,,,51.5878525,-0.1180259,OpenStreetMap,False,,
MEDIUM,Moonlounge,mediterranean;burger;pasta,"34, High Street, London, N2 8, London",N2 8,+44 7467 542 057,https://moonlounge.uk,,,,,51.5873437,-0.1199754,OpenStreetMap,True,2025-06-25,yes
MEDIUM,Morrisons Cafe,coffee_shop,"High Road, London, N2 8, London",N2 8,,https://my.morrisons.com/storefinder/313/wood-green,,,,,51.5966593,-0.1098393,OpenStreetMap,False,,
MEDIUM,Mum's Whole Food,convenience,"435, Green Lanes, London, N4 4, London",N4 4,+44 7542 144 606,https://www.mumswholefood.co.uk/,,,,,51.5790578,-0.0992627,OpenStreetMap,False,,
MEDIUM,Music & Beans,cafe,"461, Green Lanes, London, N4 4, London",N4 4,+44 20 8352 2087,https://haringey.musicandbeans.co.uk,,,,,51.5798571,-0.0994161,OpenStreetMap,False,,
MEDIUM,Mykonos Gyros,restaurant,"559, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5829074,-0.0999686,OpenStreetMap,False,,
MEDIUM,N4 Cafe,fast_food,"351, Green Lanes, London, N4 4, London",N4 4,,,,,,,51.5761356,-0.0987205,OpenStreetMap,False,,
MEDIUM,Nando's,chicken;portuguese,"180, High Road, London, N2 8, London",N2 8,+44208 889 2936,https://www.nandos.co.uk/restaurants/wood-green,,,,,51.5970124,-0.1087706,OpenStreetMap,False,,
MEDIUM,Napoli,pizza,"12, Turnpike Lane, London, N2 8, London",N2 8,,,,,,,51.5901398,-0.1043694,OpenStreetMap,False,,
MEDIUM,Nest Café,cafe,"N2 8, Haringey, London",N2 8,,,,,,,51.5979425,-0.1102767,OpenStreetMap,False,,
MEDIUM,Oak and Bean,coffee_shop,"25, High Street, London, N2 8, London",N2 8,,,,,,,51.5878767,-0.1177741,OpenStreetMap,False,,
MEDIUM,Olive Brunch,cafe,"1, Turnpike Parade, London, N2 8, London",N2 8,,,,,,,51.5902247,-0.1028303,OpenStreetMap,False,,
MEDIUM,One Love Kitchen,caribbean,"9, Crouch Hill, London, N4 0, London",N4 0,,https://www.onelove-kitchen.co.uk,,,,,51.570631,-0.1160314,OpenStreetMap,False,,
