Oil Priority,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Latitude,Longitude,Source,Contacted,Contact_Date,Contact_Notes
HIGH,Awesome Chips,chips,"N2 8, London",N2 8,,,51.594681,-0.109037,OpenStreetMap,False,,
HIGH,Awesome Chips,chips,"N6 2, London",N6 2,,,51.594681,-0.109037,OpenStreetMap,False,,
HIGH,Awesome Chips,chips,"N8 4, London",N8 4,,,51.594681,-0.109037,OpenStreetMap,False,,
HIGH,Awesome Chips,chips,"N22 1, London",N22 1,,,51.594681,-0.109037,OpenStreetMap,False,,
HIGH,Awesome Chips,chips,"N22 2, London",N22 2,,,51.594681,-0.109037,OpenStreetMap,False,,
HIGH,Awesome Chips,chips,"N22 5, London",N22 5,,,51.594681,-0.109037,OpenStreetMap,False,,
HIGH,Awesome Chips,chips,"N22 7, London",N22 7,,,51.594681,-0.109037,OpenStreetMap,False,,
HIGH,Awesome Chips,chips,"N22 9, London",N22 9,,,51.594681,-0.109037,OpenStreetMap,False,,
HIGH,Bagels & Juice,caribbean,"49B, West Green Road, N15 2, London",N15 2,,,51.5842177,-0.0757165,OpenStreetMap,False,,
HIGH,Bagels & Juice,caribbean,"49B, West Green Road, N15 3, London",N15 3,,,51.5842177,-0.0757165,OpenStreetMap,False,,
HIGH,Bagels & Juice,caribbean,"49B, West Green Road, N15 7, London",N15 7,,,51.5842177,-0.0757165,OpenStreetMap,False,,
HIGH,Bari Wood Oven Pizzeria,pizza,"120, West Green Road, N15 2, London",N15 2,,https://bariwoodfirepizzeria.co.uk/,51.5852746,-0.078349,OpenStreetMap,False,,
HIGH,Bari Wood Oven Pizzeria,pizza,"120, West Green Road, N15 3, London",N15 3,,https://bariwoodfirepizzeria.co.uk/,51.5852746,-0.078349,OpenStreetMap,False,,
HIGH,Bari Wood Oven Pizzeria,pizza,"120, West Green Road, N15 7, London",N15 7,,https://bariwoodfirepizzeria.co.uk/,51.5852746,-0.078349,OpenStreetMap,False,,
HIGH,Basilico,pizza,"Park Road, N8 0, London",N8 0,,,51.5812674,-0.1259399,OpenStreetMap,False,,
HIGH,Basilico,pizza,"Park Road, N8 1, London",N8 1,,,51.5812674,-0.1259399,OpenStreetMap,False,,
HIGH,Basilico,pizza,"Park Road, N8 2, London",N8 2,,,51.5812674,-0.1259399,OpenStreetMap,False,,
HIGH,Basilico,pizza,"Park Road, N8 3, London",N8 3,,,51.5812674,-0.1259399,OpenStreetMap,False,,
HIGH,Basilico,pizza,"Park Road, N8 5, London",N8 5,,,51.5812674,-0.1259399,OpenStreetMap,False,,
HIGH,Basilico,pizza,"Park Road, N8 6, London",N8 6,,,51.5812674,-0.1259399,OpenStreetMap,False,,
HIGH,Basilico,pizza,"Park Road, N8 7, London",N8 7,,,51.5812674,-0.1259399,OpenStreetMap,False,,
HIGH,Basilico,pizza,"Park Road, N8 8, London",N8 8,,,51.5812674,-0.1259399,OpenStreetMap,False,,
HIGH,Basilico,pizza,"Park Road, N8 9, London",N8 9,,,51.5812674,-0.1259399,OpenStreetMap,False,,
HIGH,Belle Kebab and Chicken,kebab,"114, West Green Road, N15 2, London",N15 2,,,51.5852063,-0.078001,OpenStreetMap,False,,
HIGH,Belle Kebab and Chicken,kebab,"114, West Green Road, N15 3, London",N15 3,,,51.5852063,-0.078001,OpenStreetMap,False,,
HIGH,Belle Kebab and Chicken,kebab,"114, West Green Road, N15 7, London",N15 7,,,51.5852063,-0.078001,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N4 0, London",N4 0,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N4 1, London",N4 1,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N4 2, London",N4 2,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N4 3, London",N4 3,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N4 5, London",N4 5,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N4 6, London",N4 6,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N4 7, London",N4 7,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N8 0, London",N8 0,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N8 1, London",N8 1,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N8 2, London",N8 2,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N8 5, London",N8 5,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N8 6, London",N8 6,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N8 7, London",N8 7,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N8 8, London",N8 8,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best 2,fast_food,"N8 9, London",N8 9,,,51.5825927,-0.1182826,OpenStreetMap,False,,
HIGH,Best Kebab,kebab,"N15 0, London",N15 0,,,51.5813301,-0.0766036,OpenStreetMap,True,2025-06-25,Test contact note - this is working!
HIGH,Best Kebab,kebab,"N15 2, London",N15 2,,,51.5813301,-0.0766036,OpenStreetMap,True,2025-06-25,Test contact note - this is working!
HIGH,Best Kebab,kebab,"N15 3, London",N15 3,,,51.5813301,-0.0766036,OpenStreetMap,True,2025-06-25,Test contact note - this is working!
HIGH,Best Kebab,kebab,"N15 4, London",N15 4,,,51.5813301,-0.0766036,OpenStreetMap,True,2025-06-25,Test contact note - this is working!
HIGH,Best Kebab,kebab,"N15 5, London",N15 5,,,51.5813301,-0.0766036,OpenStreetMap,True,2025-06-25,Test contact note - this is working!
HIGH,Best Kebab,kebab,"N15 6, London",N15 6,,,51.5813301,-0.0766036,OpenStreetMap,True,2025-06-25,Test contact note - this is working!
HIGH,Best Kebab,kebab,"N15 7, London",N15 7,,,51.5813301,-0.0766036,OpenStreetMap,True,2025-06-25,Test contact note - this is working!
HIGH,Best Kebab,kebab,"N15 8, London",N15 8,,,51.5813301,-0.0766036,OpenStreetMap,True,2025-06-25,Test contact note - this is working!
HIGH,Bianca Pizzeria,italian;pizza,"419, Green Lanes, N4 4, London",N4 4,+44 20 8340 5296,,51.5785222,-0.0991526,OpenStreetMap,False,,
HIGH,Bianca Pizzeria,italian;pizza,"419, Green Lanes, N15 1, London",N15 1,+44 20 8340 5296,,51.5785222,-0.0991526,OpenStreetMap,False,,
HIGH,Bianca Pizzeria,italian;pizza,"419, Green Lanes, N15 9, London",N15 9,+44 20 8340 5296,,51.5785222,-0.0991526,OpenStreetMap,False,,
HIGH,Brazilian Centre,fast_food,"4, Amhurst Park, N15 0, London",N15 0,,,51.573884,-0.0732106,OpenStreetMap,False,,
HIGH,Brazilian Centre,fast_food,"4, Amhurst Park, N15 4, London",N15 4,,,51.573884,-0.0732106,OpenStreetMap,False,,
HIGH,Brazilian Centre,fast_food,"4, Amhurst Park, N15 5, London",N15 5,,,51.573884,-0.0732106,OpenStreetMap,False,,
HIGH,Brazilian Centre,fast_food,"4, Amhurst Park, N15 6, London",N15 6,,,51.573884,-0.0732106,OpenStreetMap,False,,
HIGH,Brazilian Centre,fast_food,"4, Amhurst Park, N15 8, London",N15 8,,,51.573884,-0.0732106,OpenStreetMap,False,,
HIGH,Bruce Burgers,chicken;burger,"93, Bruce Grove, N17 0, London",N17 0,+442084110087,https://www.bruceburgers.co.uk/,51.5958176,-0.071622,OpenStreetMap,False,,
HIGH,Bruce Burgers,chicken;burger,"93, Bruce Grove, N17 1, London",N17 1,+442084110087,https://www.bruceburgers.co.uk/,51.5958176,-0.071622,OpenStreetMap,False,,
HIGH,Bruce Burgers,chicken;burger,"93, Bruce Grove, N17 2, London",N17 2,+442084110087,https://www.bruceburgers.co.uk/,51.5958176,-0.071622,OpenStreetMap,False,,
HIGH,Bruce Burgers,chicken;burger,"93, Bruce Grove, N17 3, London",N17 3,+442084110087,https://www.bruceburgers.co.uk/,51.5958176,-0.071622,OpenStreetMap,False,,
HIGH,Bruce Burgers,chicken;burger,"93, Bruce Grove, N17 4, London",N17 4,+442084110087,https://www.bruceburgers.co.uk/,51.5958176,-0.071622,OpenStreetMap,False,,
HIGH,Bruce Burgers,chicken;burger,"93, Bruce Grove, N17 5, London",N17 5,+442084110087,https://www.bruceburgers.co.uk/,51.5958176,-0.071622,OpenStreetMap,False,,
HIGH,Bruce Burgers,chicken;burger,"93, Bruce Grove, N17 6, London",N17 6,+442084110087,https://www.bruceburgers.co.uk/,51.5958176,-0.071622,OpenStreetMap,False,,
HIGH,Bruce Burgers,chicken;burger,"93, Bruce Grove, N17 7, London",N17 7,+442084110087,https://www.bruceburgers.co.uk/,51.5958176,-0.071622,OpenStreetMap,False,,
HIGH,Bruce Burgers,chicken;burger,"93, Bruce Grove, N17 8, London",N17 8,+442084110087,https://www.bruceburgers.co.uk/,51.5958176,-0.071622,OpenStreetMap,False,,
HIGH,Bruce Burgers,chicken;burger,"93, Bruce Grove, N17 9, London",N17 9,+442084110087,https://www.bruceburgers.co.uk/,51.5958176,-0.071622,OpenStreetMap,False,,
HIGH,Bufala di Londra,pizza,"18, Topsfield Parade, N8 0, London",N8 0,,https://www.bufaladilondra.co.uk/,51.5801445,-0.1233136,OpenStreetMap,False,,
HIGH,Bufala di Londra,pizza,"18, Topsfield Parade, N8 1, London",N8 1,,https://www.bufaladilondra.co.uk/,51.5801445,-0.1233136,OpenStreetMap,False,,
HIGH,Bufala di Londra,pizza,"18, Topsfield Parade, N8 2, London",N8 2,,https://www.bufaladilondra.co.uk/,51.5801445,-0.1233136,OpenStreetMap,False,,
HIGH,Bufala di Londra,pizza,"18, Topsfield Parade, N8 5, London",N8 5,,https://www.bufaladilondra.co.uk/,51.5801445,-0.1233136,OpenStreetMap,False,,
HIGH,Bufala di Londra,pizza,"18, Topsfield Parade, N8 6, London",N8 6,,https://www.bufaladilondra.co.uk/,51.5801445,-0.1233136,OpenStreetMap,False,,
HIGH,Bufala di Londra,pizza,"18, Topsfield Parade, N8 7, London",N8 7,,https://www.bufaladilondra.co.uk/,51.5801445,-0.1233136,OpenStreetMap,False,,
HIGH,Bufala di Londra,pizza,"18, Topsfield Parade, N8 8, London",N8 8,,https://www.bufaladilondra.co.uk/,51.5801445,-0.1233136,OpenStreetMap,False,,
HIGH,Bufala di Londra,pizza,"18, Topsfield Parade, N8 9, London",N8 9,,https://www.bufaladilondra.co.uk/,51.5801445,-0.1233136,OpenStreetMap,False,,
HIGH,Burger Endz,restaurant,"N22 3, London",N22 3,,,51.6035669,-0.0963431,OpenStreetMap,False,,
HIGH,Burger Endz,restaurant,"N22 8, London",N22 8,,,51.6035669,-0.0963431,OpenStreetMap,False,,
HIGH,Burger King,burger,"Broad Lane, N15 3, London",N15 3,,,51.5875258,-0.0622738,OpenStreetMap,False,,
HIGH,Chaiiwala,indian,"N2 8, London",N2 8,,,51.5940536,-0.1083673,OpenStreetMap,False,,
HIGH,Chaiiwala,indian,"N6 2, London",N6 2,,,51.5940536,-0.1083673,OpenStreetMap,False,,
HIGH,Chaiiwala,indian,"N8 4, London",N8 4,,,51.5940536,-0.1083673,OpenStreetMap,False,,
HIGH,Chaiiwala,indian,"N22 1, London",N22 1,,,51.5940536,-0.1083673,OpenStreetMap,False,,
HIGH,Chaiiwala,indian,"N22 2, London",N22 2,,,51.5940536,-0.1083673,OpenStreetMap,False,,
HIGH,Chaiiwala,indian,"N22 5, London",N22 5,,,51.5940536,-0.1083673,OpenStreetMap,False,,
HIGH,Chaiiwala,indian,"N22 7, London",N22 7,,,51.5940536,-0.1083673,OpenStreetMap,False,,
HIGH,Chaiiwala,indian,"N22 9, London",N22 9,,,51.5940536,-0.1083673,OpenStreetMap,False,,
HIGH,Charcoal Grill,kebab,"466, Lordship Lane, N22 8, London",N22 8,,,51.5981693,-0.0917196,OpenStreetMap,False,,
HIGH,Chick King,fried_chicken,"High Road, N17 8, London",N17 8,,,51.6044732,-0.0682232,OpenStreetMap,False,,
HIGH,Chicken & Pizza,pizza;chicken,"13, High Street, N2 8, London",N2 8,,,51.5877672,-0.1186629,OpenStreetMap,False,,
HIGH,Chicken & Pizza,pizza;chicken,"13, High Street, N6 2, London",N6 2,,,51.5877672,-0.1186629,OpenStreetMap,False,,
HIGH,Chicken & Pizza,pizza;chicken,"13, High Street, N8 4, London",N8 4,,,51.5877672,-0.1186629,OpenStreetMap,False,,
HIGH,Chicken & Pizza,pizza;chicken,"13, High Street, N8 5, London",N8 5,,,51.5877672,-0.1186629,OpenStreetMap,False,,
HIGH,Chicken & Pizza,pizza;chicken,"13, High Street, N22 2, London",N22 2,,,51.5877672,-0.1186629,OpenStreetMap,False,,
HIGH,Chicken Excel,chicken,"14, West Green Road, N15 2, London",N15 2,,,51.5840585,-0.0730659,OpenStreetMap,False,,
HIGH,Chicken Excel,chicken,"14, West Green Road, N15 3, London",N15 3,,,51.5840585,-0.0730659,OpenStreetMap,False,,
HIGH,Chicken Excel,chicken,"14, West Green Road, N15 7, London",N15 7,,,51.5840585,-0.0730659,OpenStreetMap,False,,
HIGH,Chicken Express,fast_food,"N22 0, London",N22 0,,,51.6015178,-0.1118017,OpenStreetMap,False,,
HIGH,Chicken Express,fast_food,"N22 1, London",N22 1,,,51.6015178,-0.1118017,OpenStreetMap,False,,
HIGH,Chicken Express,fast_food,"N22 3, London",N22 3,,,51.6015178,-0.1118017,OpenStreetMap,False,,
HIGH,Chicken Express,fast_food,"N22 4, London",N22 4,,,51.6015178,-0.1118017,OpenStreetMap,False,,
HIGH,Chicken Express,fast_food,"N22 5, London",N22 5,,,51.6015178,-0.1118017,OpenStreetMap,False,,
HIGH,Chicken Express,fast_food,"N22 6, London",N22 6,,,51.6015178,-0.1118017,OpenStreetMap,False,,
HIGH,Chicken Express,fast_food,"N22 7, London",N22 7,,,51.6015178,-0.1118017,OpenStreetMap,False,,
HIGH,Chicken Express,fast_food,"N22 9, London",N22 9,,,51.6015178,-0.1118017,OpenStreetMap,False,,
HIGH,Chickenways Peri Peri,chicken,"527C, Green Lanes, N4 4, London",N4 4,+44 20 8351 4908,,51.5819924,-0.0998103,OpenStreetMap,False,,
HIGH,Chickenways Peri Peri,chicken,"527C, Green Lanes, N15 1, London",N15 1,+44 20 8351 4908,,51.5819924,-0.0998103,OpenStreetMap,False,,
HIGH,Chickenways Peri Peri,chicken,"527C, Green Lanes, N15 9, London",N15 9,+44 20 8351 4908,,51.5819924,-0.0998103,OpenStreetMap,False,,
HIGH,Chicks,chicken,"51, West Green Road, N15 2, London",N15 2,,,51.5842726,-0.0759262,OpenStreetMap,False,,
HIGH,Chicks,chicken,"51, West Green Road, N15 3, London",N15 3,,,51.5842726,-0.0759262,OpenStreetMap,False,,
HIGH,Chicks,chicken,"51, West Green Road, N15 7, London",N15 7,,,51.5842726,-0.0759262,OpenStreetMap,False,,
HIGH,Chicos,chicken,"679, Green Lanes, N2 8, London",N2 8,,,51.5903664,-0.1038877,OpenStreetMap,False,,
HIGH,Chicos,chicken,"679, Green Lanes, N6 2, London",N6 2,,,51.5903664,-0.1038877,OpenStreetMap,False,,
HIGH,Chicos,chicken,"679, Green Lanes, N8 4, London",N8 4,,,51.5903664,-0.1038877,OpenStreetMap,False,,
HIGH,Chicos,chicken,"679, Green Lanes, N22 1, London",N22 1,,,51.5903664,-0.1038877,OpenStreetMap,False,,
HIGH,Chicos,chicken,"679, Green Lanes, N22 2, London",N22 2,,,51.5903664,-0.1038877,OpenStreetMap,False,,
HIGH,Chicos,chicken,"679, Green Lanes, N22 5, London",N22 5,,,51.5903664,-0.1038877,OpenStreetMap,False,,
HIGH,Chicos,chicken,"679, Green Lanes, N22 7, London",N22 7,,,51.5903664,-0.1038877,OpenStreetMap,False,,
HIGH,Chicos,chicken,"679, Green Lanes, N22 9, London",N22 9,,,51.5903664,-0.1038877,OpenStreetMap,False,,
HIGH,Chips Town,fish_and_chips,"High Road, N17 8, London",N17 8,,,51.6043833,-0.0682133,OpenStreetMap,False,,
HIGH,Chopstix,noodle,"High Road, N2 8, London",N2 8,,,51.5933938,-0.1074332,OpenStreetMap,False,,
HIGH,Chopstix,noodle,"High Road, N6 2, London",N6 2,,,51.5933938,-0.1074332,OpenStreetMap,False,,
HIGH,Chopstix,noodle,"High Road, N8 4, London",N8 4,,,51.5933938,-0.1074332,OpenStreetMap,False,,
HIGH,Chopstix,noodle,"High Road, N22 1, London",N22 1,,,51.5933938,-0.1074332,OpenStreetMap,False,,
HIGH,Chopstix,noodle,"High Road, N22 2, London",N22 2,,,51.5933938,-0.1074332,OpenStreetMap,False,,
HIGH,Chopstix,noodle,"High Road, N22 5, London",N22 5,,,51.5933938,-0.1074332,OpenStreetMap,False,,
HIGH,Chopstix,noodle,"High Road, N22 7, London",N22 7,,,51.5933938,-0.1074332,OpenStreetMap,False,,
HIGH,Chopstix,noodle,"High Road, N22 9, London",N22 9,,,51.5933938,-0.1074332,OpenStreetMap,False,,
HIGH,Cobbs Bakery,sandwich,"3, High Street, N2 8, London",N2 8,,,51.5877097,-0.1189855,OpenStreetMap,False,,
HIGH,Cobbs Bakery,sandwich,"3, High Street, N6 2, London",N6 2,,,51.5877097,-0.1189855,OpenStreetMap,False,,
HIGH,Cobbs Bakery,sandwich,"3, High Street, N8 5, London",N8 5,,,51.5877097,-0.1189855,OpenStreetMap,False,,
HIGH,Cobbs Bakery,sandwich,"3, High Street, N22 2, London",N22 2,,,51.5877097,-0.1189855,OpenStreetMap,False,,
HIGH,Cool Carrot,indian,"259, Archway Road, N6 0, London",N6 0,,https://www.coolcarrot.shop/,51.5762378,-0.1440474,OpenStreetMap,False,,
HIGH,Cool Carrot,indian,"259, Archway Road, N6 1, London",N6 1,,https://www.coolcarrot.shop/,51.5762378,-0.1440474,OpenStreetMap,False,,
HIGH,Cool Carrot,indian,"259, Archway Road, N6 3, London",N6 3,,https://www.coolcarrot.shop/,51.5762378,-0.1440474,OpenStreetMap,False,,
HIGH,Cool Carrot,indian,"259, Archway Road, N6 4, London",N6 4,,https://www.coolcarrot.shop/,51.5762378,-0.1440474,OpenStreetMap,False,,
HIGH,Cool Carrot,indian,"259, Archway Road, N6 5, London",N6 5,,https://www.coolcarrot.shop/,51.5762378,-0.1440474,OpenStreetMap,False,,
HIGH,Cool Carrot,indian,"259, Archway Road, N6 6, London",N6 6,,https://www.coolcarrot.shop/,51.5762378,-0.1440474,OpenStreetMap,False,,
HIGH,Cool Carrot,indian,"259, Archway Road, N6 7, London",N6 7,,https://www.coolcarrot.shop/,51.5762378,-0.1440474,OpenStreetMap,False,,
HIGH,Cool Carrot,indian,"259, Archway Road, N6 8, London",N6 8,,https://www.coolcarrot.shop/,51.5762378,-0.1440474,OpenStreetMap,False,,
HIGH,Coqfighter,chicken,"38, Wells Terrace, N4 9, London",N4 9,,,51.56484,-0.1083954,OpenStreetMap,False,,
HIGH,Coqfighter,chicken,"110, N4 9, London",N4 9,,,51.5645514,-0.1092358,OpenStreetMap,False,,
HIGH,Crepe Station,fast_food,"N2 8, London",N2 8,,,51.5906974,-0.1032356,OpenStreetMap,False,,
HIGH,Crepe Station,fast_food,"N6 2, London",N6 2,,,51.5906974,-0.1032356,OpenStreetMap,False,,
HIGH,Crepe Station,fast_food,"N8 4, London",N8 4,,,51.5906974,-0.1032356,OpenStreetMap,False,,
HIGH,Crepe Station,fast_food,"N22 1, London",N22 1,,,51.5906974,-0.1032356,OpenStreetMap,False,,
HIGH,Crepe Station,fast_food,"N22 2, London",N22 2,,,51.5906974,-0.1032356,OpenStreetMap,False,,
HIGH,Crepe Station,fast_food,"N22 5, London",N22 5,,,51.5906974,-0.1032356,OpenStreetMap,False,,
HIGH,Crepe Station,fast_food,"N22 7, London",N22 7,,,51.5906974,-0.1032356,OpenStreetMap,False,,
HIGH,Crepe Station,fast_food,"N22 9, London",N22 9,,,51.5906974,-0.1032356,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N4 0, London",N4 0,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N4 1, London",N4 1,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N4 2, London",N4 2,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N4 3, London",N4 3,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N4 5, London",N4 5,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N4 6, London",N4 6,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N4 7, London",N4 7,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N8 0, London",N8 0,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N8 1, London",N8 1,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N8 2, London",N8 2,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N8 5, London",N8 5,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N8 6, London",N8 6,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N8 7, London",N8 7,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N8 8, London",N8 8,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Best Kebab,kebab,"131, Tottenham Lane, N8 9, London",N8 9,,,51.582553,-0.1184096,OpenStreetMap,False,,
HIGH,Crouch End Hardware,fast_food,"N8 0, London",N8 0,,,51.5791495,-0.1236372,OpenStreetMap,False,,
HIGH,Crouch End Hardware,fast_food,"N8 1, London",N8 1,,,51.5791495,-0.1236372,OpenStreetMap,False,,
HIGH,Crouch End Hardware,fast_food,"N8 2, London",N8 2,,,51.5791495,-0.1236372,OpenStreetMap,False,,
HIGH,Crouch End Hardware,fast_food,"N8 5, London",N8 5,,,51.5791495,-0.1236372,OpenStreetMap,False,,
HIGH,Crouch End Hardware,fast_food,"N8 6, London",N8 6,,,51.5791495,-0.1236372,OpenStreetMap,False,,
HIGH,Crouch End Hardware,fast_food,"N8 7, London",N8 7,,,51.5791495,-0.1236372,OpenStreetMap,False,,
HIGH,Crouch End Hardware,fast_food,"N8 8, London",N8 8,,,51.5791495,-0.1236372,OpenStreetMap,False,,
HIGH,Crouch End Hardware,fast_food,"N8 9, London",N8 9,,,51.5791495,-0.1236372,OpenStreetMap,False,,
