Spice Priority,Business Name,Cuisine Type,Address,Postcode,Phone,Website,Email,Rating,Price Level,Reviews Count,Latitude,Longitude,Source
HIGH,The Gun,asian,"235, Well Street, London, E5 1, London",E5 1,+44 20 8985 6296,https://www.thegunwellstreet.com/,info@thegunwellstreet.com,,,,51.5441967,-0.0471116,OpenStreetMap
HIGH,The Takeaway,chicken;kebab;burger;pizza,"33, Barnabas Road, London, E5 0, London",E5 0,+44 20 8986 8818; +44 7444 314966,,,,,,51.5469053,-0.0417879,OpenStreetMap
HIGH,Three Bowls,asian,"68, Lower Clapton Road, E5 0, London",E5 0,,,,,,,51.5526763,-0.052636,OpenStreetMap
HIGH,Too Sweet,west indian,"63, Chatsworth Road, London, E5 0, London",E5 0,+44 20 8525 8168,,,,,,51.5535023,-0.0451035,OpenStreetMap
MEDIUM,21 Sid,italian,"21, Sidworth Street, E5 1, London",E5 1,,,,,,,51.5393301,-0.0573429,OpenStreetMap
MEDIUM,46b Espresso Hut,coffee_shop,"46b, Brooksby's Walk, London, E5 0, London",E5 0,,https://46b-espressohut.tumblr.com/,info@46b-espressohut.tumblr.com,,,,51.5502924,-0.042828,OpenStreetMap
MEDIUM,Agbo Saba Cash & Carry Food,convenience,"12, Chatsworth Road, London, E5 0, London",E5 0,,,,,,,51.551983,-0.0437177,OpenStreetMap
MEDIUM,Anatolia,restaurant,"253, Mare Street, London, E5 1, London",E5 1,,,,,,,51.5427474,-0.0555577,OpenStreetMap
MEDIUM,Backyard Grill,caribbean,"Lower Clapton Road, London, E5 0, London",E5 0,+44 20 8986 8201,,,,,,51.5539931,-0.0535296,OpenStreetMap
MEDIUM,Banh Mi Hoi-an,restaurant,"242, Graham Road, London, E5 1, London",E5 1,,,,,,,51.5465773,-0.055621,OpenStreetMap
MEDIUM,Beans & Bites,mediterranean;pancake,"244, Morning Lane, London, E5 0, London",E5 0,,,,,,,51.5452111,-0.0463059,OpenStreetMap
MEDIUM,Big Night,barbecue,"177, Morning Lane, E5 0, London",E5 0,,https://bignight.info/,info@bignight.info,,,,51.5468983,-0.0480504,OpenStreetMap
MEDIUM,Blend Cafe Ltd,coffee_shop,"Barnabas Road, London, E5 0, London",E5 0,,https://blendcafe.london/,info@blendcafe.london,,,,51.5459211,-0.0420127,OpenStreetMap
MEDIUM,Bone'ma Kitchen,cafe,"83, Lauriston Road, London, E5 1, London",E5 1,+44 20 4531 8397,,,,,,51.5379294,-0.0445624,OpenStreetMap
MEDIUM,Boulangerie Jade,coffee_shop,"79, Lauriston Road, London, E5 1, London",E5 1,+44 20 8986 0777,,,,,,51.5380138,-0.044648,OpenStreetMap
MEDIUM,Bread & Truffle,sandwich,"E5 1, Hackney, London",E5 1,,https://breadandtruffle.com/,info@breadandtruffle.com,,,,51.5396936,-0.0579857,OpenStreetMap
MEDIUM,Bronson's Burgers,burger,"169, Mare Street, E5 1, London",E5 1,,https://bronsonsburgers.co.uk/,info@bronsonsburgers.co.uk,,,,51.5400145,-0.0561235,OpenStreetMap
MEDIUM,Bun & Sum,burger,"224, Graham Road, London, E5 1, London",E5 1,,https://www.bunandsum.com/,info@bunandsum.com,,,,51.546559,-0.0561305,OpenStreetMap
MEDIUM,Bungalows Cafe,cafe,"80, Mare Street, London, E5 1, London",E5 1,+44 20 3609 4668,,,,,,51.5381882,-0.0567146,OpenStreetMap
MEDIUM,Buns & Puns,burger,"6, Chatsworth Road, London, E5 0, London",E5 0,,,,,,,51.551829,-0.0436486,OpenStreetMap
MEDIUM,Bunster,burger;american,"108, Lower Clapton Road, London, E5 0, London",E5 0,+44 20 8533 0404,https://www.bunster.co/,info@bunster.co,,,,51.5535221,-0.0531549,OpenStreetMap
MEDIUM,Burgrill,fast_food,"33, Lower Clapton Road, E5 0, London",E5 0,,https://www.burgrill.co.uk/,info@burgrill.co.uk,,,,51.5509245,-0.0526921,OpenStreetMap
MEDIUM,Burnt Mill,pizza,"257, Mare Street, E5 1, London",E5 1,+44 20 8510 3453,,,,,,51.5429101,-0.0557674,OpenStreetMap
MEDIUM,Cafe Mosaic,cafe,"E5 1, Hackney, London",E5 1,,,,,,,51.5415628,-0.0520373,OpenStreetMap
MEDIUM,Caloroso,pizza,"71, Lower Clapton Road, E5 0, London",E5 0,+44 20 8985 5577,https://www.caloroso.co.uk/,info@caloroso.co.uk,,,,51.5513653,-0.0518741,OpenStreetMap
MEDIUM,Carolina Pizza,pizza,"173, Mare Street, London, E5 1, London",E5 1,+44 20 8525 5588,,,,,,51.5400687,-0.0559738,OpenStreetMap
MEDIUM,Chambers,mediterranean,"132, Lauriston Road, London, E5 1, London",E5 1,,,,,,,51.5368487,-0.0448767,OpenStreetMap
MEDIUM,Chan's Noodle Bar,noodle,"181, Mare Street, London, E5 1, London",E5 1,+44 20 8985 5969,,,,,,51.5403001,-0.0558716,OpenStreetMap
MEDIUM,Change Please,coffee_shop,"E5 0, Hackney, London",E5 0,,,,,,,51.550103,-0.0462629,OpenStreetMap
MEDIUM,Chatters Restaurant,fast_food,"E5 0, Hackney, London",E5 0,,,,,,,51.5500168,-0.0461389,OpenStreetMap
MEDIUM,Clapton Table,mediterranean,"159, Lower Clapton Road, London, E5 0, London",E5 0,+44 20 3754 7182,http://claptontable.com,info@claptontable.com,,,,51.554056,-0.0541505,OpenStreetMap
MEDIUM,Climpson's Arch,restaurant,"Helmsley Place, London, E5 1, London",E5 1,,,,,,,51.539638,-0.0584354,OpenStreetMap
MEDIUM,Co-op Food,convenience,"21-23, Chatsworth Road, London, E5 0, London",E5 0,+44 20 8986 1264,https://www.coop.co.uk/store-finder/E5-0LH/21-23-chatsworth-road,info@coop.co.uk,,,,51.5523103,-0.0445009,OpenStreetMap
MEDIUM,Co-op Food,convenience,"112, Homerton High Street, London, E5 0, London",E5 0,+44 20 8985 8260,https://www.coop.co.uk/store-finder/E9-6JF/112-homerton-high-street,info@coop.co.uk,,,,51.5478772,-0.0457425,OpenStreetMap
MEDIUM,Cod & Co,fish_and_chips,"8, Chatsworth Road, London, E5 0, London",E5 0,+44 20 8985 4226,http://codandco.com/,info@codandco.com,,,,51.5518677,-0.0436776,OpenStreetMap
MEDIUM,Coopersale Coffee House,coffee_shop,"143-145, Homerton High Street, E5 0, London",E5 0,,,,,,,51.548823,-0.0409948,OpenStreetMap
MEDIUM,Costa,coffee_shop,"Homerton Row, London, E5 0, London",E5 0,,,,,,,51.550228,-0.0457275,OpenStreetMap
MEDIUM,Costa,coffee_shop,"7-19, Amhurst Road, London, E5 1, London",E5 1,,,,,,,51.5475284,-0.0561955,OpenStreetMap
MEDIUM,Crystal Cafe,cafe,"48b, Brooksby's Walk, London, E5 0, London",E5 0,,,,,,,51.5503765,-0.0428696,OpenStreetMap
MEDIUM,Cuppa Pug,cafe,"Nursery Road, London, E5 0, London",E5 0,,https://www.cuppapug.com/locations/london,info@cuppapug.com,,,,51.5472533,-0.0515118,OpenStreetMap
MEDIUM,Dalla,italian,"120, Morning Lane, London, E5 0, London",E5 0,,,,,,,51.5469704,-0.0494656,OpenStreetMap
MEDIUM,Dilara's Cafe,cafe,"8, Morning Lane, London, E5 1, London",E5 1,,,,,,,51.5458955,-0.0542598,OpenStreetMap
MEDIUM,Dolphin Wine Bar & Restaurant,bar,"Mare Street, London, E5 1, London",E5 1,,,,,,,51.5398076,-0.0562633,OpenStreetMap
MEDIUM,Domino's,pizza,"113, Lower Clapton Road, London, E5 0, London",E5 0,,,,,,,51.5522175,-0.0526531,OpenStreetMap
MEDIUM,Domino's,pizza,"222, Mare Street, London, E5 1, London",E5 1,,,,,,,51.5437877,-0.0551473,OpenStreetMap
MEDIUM,Doree & Co,cafe,"26, Chatsworth Road, E5 0, London",E5 0,,,,,,,51.5524245,-0.04398,OpenStreetMap
MEDIUM,Dribble Tea,bubble_tea,"19, Well Street, London, E5 1, London",E5 1,,,,,,,51.5401434,-0.0546338,OpenStreetMap
MEDIUM,E5 Square Cafe,cafe,"193, Rushmore Road, London, E5 0, London",E5 0,,,,,,,51.5557574,-0.0394263,OpenStreetMap
MEDIUM,E9 Cafe,cafe,"267, Well Street, London, E5 1, London",E5 1,+44 20 8525 9538,,,,,,51.5449784,-0.0464839,OpenStreetMap
MEDIUM,EDIT,restaurant,"217, Mare Street, London, E5 1, London",E5 1,,https://www.edit.london/,info@edit.london,,,,51.5415851,-0.0554281,OpenStreetMap
MEDIUM,Eastgate Food & Wine,convenience,"180, Chatsworth Road, E5 0, London",E5 0,,,,,,,51.5568784,-0.0461922,OpenStreetMap
MEDIUM,Elephant,pizza,"43, Lower Clapton Road, E5 0, London",E5 0,,https://www.elephanthackney.com/,info@elephanthackney.com,,,,51.550972,-0.0522937,OpenStreetMap
MEDIUM,Elsewhere Coffee,coffee_shop,"E5 1, Hackney, London",E5 1,,https://elsewherecoffee.com/,info@elsewherecoffee.com,,,,51.5471557,-0.0552553,OpenStreetMap
MEDIUM,Emir African Cuisine and Lounge,african,"16, Chatsworth Road, London, E5 0, London",E5 0,+44 20 3632 1172,,,,,,51.552192,-0.043893,OpenStreetMap
MEDIUM,Fayre Share,cafe,"180, Victoria Park Road, London, E5 1, London",E5 1,,,,,,,51.5382093,-0.0438155,OpenStreetMap
MEDIUM,Felice,italian,"90, Lower Clapton Road, London, E5 0, London",E5 0,+44 20 8510 0298,,,,,,51.5532269,-0.0529384,OpenStreetMap
MEDIUM,Fika,coffee_shop,"36, Chatsworth Road, E5 0, London",E5 0,,,,,,,51.5527902,-0.0442027,OpenStreetMap
MEDIUM,Finch Cafe,cafe,"12, Sidworth Street, London, E5 1, London",E5 1,,,,,,,51.5396788,-0.0575595,OpenStreetMap
MEDIUM,Fink's Chats,coffee_shop,"62, Chatsworth Road, London, E5 0, London",E5 0,,https://www.finks.co.uk/chatsworth,info@finks.co.uk,,,,51.5535486,-0.0446066,OpenStreetMap
MEDIUM,Frampton Food,convenience,"E5 1, Hackney, London",E5 1,,,,,,,51.5430537,-0.0523299,OpenStreetMap
MEDIUM,Franzè & Evans Café,cafe,"E5 1, Hackney, London",E5 1,+44 20 3874 7201,https://www.franzeevans.com/marest,info@franzeevans.com,,,,51.5411573,-0.0554312,OpenStreetMap
MEDIUM,Fulljoy,seafood,"80, Lower Clapton Road, London, E5 0, London",E5 0,,,,,,,51.5529078,-0.0527584,OpenStreetMap
MEDIUM,Gaia Pulses,greek,"E5 0, Hackney, London",E5 0,,https://www.gaiapulses.com/,info@gaiapulses.com,,,,51.5471565,-0.0469228,OpenStreetMap
MEDIUM,Green Papaya,vietnamese,"191, Mare Street, London, E5 1, London",E5 1,+44 20 8985 5486,http://www.green-papaya.com/,info@green-papaya.com,,,,51.5405002,-0.0557099,OpenStreetMap
MEDIUM,Greggs,sandwich;bakery,"387b, Mare Street, London, E5 1, London",E5 1,,,,,,,51.5486329,-0.0553296,OpenStreetMap
MEDIUM,Hackney Whole Food,convenience,"45-47, Lower Clapton Road, London, E5 0, London",E5 0,,,,,,,51.550973,-0.0521755,OpenStreetMap
MEDIUM,Hash E8,cafe,"103, Lauriston Road, London, E5 1, London",E5 1,,,,,,,51.5373623,-0.0442867,OpenStreetMap
MEDIUM,Huong,vietnamese,"190, Well Street, London, E5 1, London",E5 1,,,,,,,51.5438154,-0.0468947,OpenStreetMap
MEDIUM,Imperial Flavors (East),restaurant,"35, Marsh Hill, London, E5 0, London",E5 0,,,,,,,51.549665,-0.0362167,OpenStreetMap
MEDIUM,Incoming Coffee,coffee_shop,"393, Mare Street, London, E5 1, London",E5 1,,,,,,,51.548755,-0.055342,OpenStreetMap
MEDIUM,Jijigo,korean,"1, Well Street, E5 1, London",E5 1,+44 20 8617 9191,https://www.jijigo.net/,info@jijigo.net,,,,51.5400783,-0.0553451,OpenStreetMap
MEDIUM,KFC,chicken,"311, Mare Street, London, E5 1, London",E5 1,,,,,,,51.5461755,-0.0554102,OpenStreetMap
MEDIUM,King Edward's Food Store,convenience,"30B, King Edward's Road, London, E5 1, London",E5 1,,,,,,,51.537734,-0.0545592,OpenStreetMap
MEDIUM,Kingfisher,fish_and_chips,"147, Homerton High Street, London, E5 0, London",E5 0,,,,,,,51.548839,-0.0407022,OpenStreetMap
MEDIUM,Kome Express,japanese;korean,"222, Graham Road, London, E5 1, London",E5 1,,https://www.komeuk.com/,info@komeuk.com,,,,51.5465458,-0.0562487,OpenStreetMap
MEDIUM,La Mela,mediterranean,"25-27, Marsh Hill, London, E5 0, London",E5 0,+44 20 8510 0801,https://lamelabistro.com/,info@lamelabistro.com,,,,51.5496728,-0.036599,OpenStreetMap
MEDIUM,Lardo,pizza,"205, Richmond Road, London, E5 1, London",E5 1,,,,,,,51.5435388,-0.0573167,OpenStreetMap
MEDIUM,Leo's,restaurant,"59, Chatsworth Road, London, E5 0, London",E5 0,+44 20 4559 8598,,,,,,51.5534076,-0.0450663,OpenStreetMap
MEDIUM,M&S Food,supermarket,"351, Mare Street, London, E5 1, London",E5 1,+44 20 8986 3821,,,,,,51.5475842,-0.055482,OpenStreetMap
MEDIUM,Mad Cat Coffee Bar,cafe,"E5 0, Hackney, London",E5 0,,,,,,,51.546952,-0.0421042,OpenStreetMap
MEDIUM,Malavenda Cafè,coffee_shop;italian,"1e, Mentmore Terrace, E5 1, London",E5 1,,https://www.malavendacafe.com/,info@malavendacafe.com,,,,51.5394467,-0.0578153,OpenStreetMap
MEDIUM,Mambow,malaysian,"78, Lower Clapton Road, London, E5 0, London",E5 0,,https://www.mambow.co.uk/,info@mambow.co.uk,,,,51.5528617,-0.0527576,OpenStreetMap
MEDIUM,Marina Cafe,cafe,"422, Mare Street, London, E5 0, London",E5 0,,,,,,,51.5495408,-0.0543163,OpenStreetMap
MEDIUM,Marinara Pizza,pizza,"228, Morning Lane, London, E5 0, London",E5 0,,,,,,,51.5455137,-0.0464167,OpenStreetMap
MEDIUM,Market Fish Bar,fish_and_chips,"195, Well Street, London, E5 1, London",E5 1,,,,,,,51.5434185,-0.0478183,OpenStreetMap
MEDIUM,McDonald's,burger,"359-363, Mare Street, London, E5 1, London",E5 1,,,,,,,51.5477459,-0.0553401,OpenStreetMap
MEDIUM,Mega Food Centre,convenience,"96, Well Street, E5 1, London",E5 1,,,,,,,51.5408108,-0.0497412,OpenStreetMap
MEDIUM,Men,japanese,"51, Chatsworth Road, London, E5 0, London",E5 0,+44 20 8616 1370,http://www.menhackney.com/,info@menhackney.com,,,,51.5531136,-0.0448042,OpenStreetMap
MEDIUM,Mess Cafe,cafe,"38, Amhurst Road, London, E5 1, London",E5 1,,,,,,,51.5481917,-0.0568145,OpenStreetMap
MEDIUM,Milk,coffee_shop,"Brooksby's Walk, E5 0, London",E5 0,,,,,,,51.5512093,-0.043441,OpenStreetMap
MEDIUM,Millfields Coffee,coffee_shop,"145, Chatsworth Road, London, E5 0, London",E5 0,,https://www.millfieldscoffee.co.uk/,info@millfieldscoffee.co.uk,,,,51.5570753,-0.0466788,OpenStreetMap
MEDIUM,Narrow Kitchen,sandwich;pasta,"396, Mare Street, London, E5 1, London",E5 1,,,,,,,51.5489961,-0.0548539,OpenStreetMap
MEDIUM,Nazar Restaurant,restaurant,"230, Well Street, London, E5 1, London",E5 1,,,,,,,51.5447572,-0.0462595,OpenStreetMap
MEDIUM,New Noodle Bar,noodle,"9, Morning Lane, London, E5 1, London",E5 1,,,,,,,51.5461365,-0.0545912,OpenStreetMap
MEDIUM,Nicky's Cafe & Sandwich Bar,cafe,"8-20, Well Street, London, E5 1, London",E5 1,,,,,,,51.5398476,-0.0552335,OpenStreetMap
MEDIUM,Number One Cafe,cafe,"36-38, Well Street, London, E5 1, London",E5 1,,,,,,,51.5399775,-0.0542137,OpenStreetMap
MEDIUM,Ohba Leaf,japanese,"E5 0, Hackney, London",E5 0,+44 20 3515 0456,https://ohbaleaf.co.uk/,info@ohbaleaf.co.uk,,,,51.5512959,-0.0434172,OpenStreetMap
MEDIUM,Olive & Lime,restaurant,"50, Lower Clapton Road, London, E5 0, London",E5 0,+44 7473 198598,https://oliveandlime.co.uk/,info@oliveandlime.co.uk,,,,51.5516662,-0.0516146,OpenStreetMap
MEDIUM,Only The Brave,cafe,"E5 1, Hackney, London",E5 1,,https://onlythebravelondon.co.uk/,info@onlythebravelondon.co.uk,,,,51.5467907,-0.056151,OpenStreetMap
MEDIUM,Original PFC,chicken,"305, Mare Street, London, E5 1, London",E5 1,+44 20 3887 1762,http://www.originalpfc.uk/,info@originalpfc.uk,,,,51.5460241,-0.0554699,OpenStreetMap
MEDIUM,Palaette,restaurant,"415, Mare Street, London, E5 1, London",E5 1,+44 7395 327 754,https://www.palaette.co.uk/,info@palaette.co.uk,,,,51.5493191,-0.0552885,OpenStreetMap
MEDIUM,Papi,restaurant,"E5 1, Hackney, London",E5 1,,https://papirestaurant.com/,info@papirestaurant.com,,,,51.5395274,-0.0577942,OpenStreetMap
MEDIUM,Patty & Bun,burger,"205, Richmond Road, London, E5 1, London",E5 1,+44 20 8525 8250,https://www.pattyandbun.co.uk/,info@pattyandbun.co.uk,,,,51.5435252,-0.057447,OpenStreetMap
MEDIUM,Paulie's,bagel,"192, Well Street, London, E5 1, London",E5 1,,https://www.pauliesbagels.co.uk/,info@pauliesbagels.co.uk,,,,51.5438524,-0.0468678,OpenStreetMap
MEDIUM,Peck! Peck!,chicken,"320, Mare Street, E5 1, London",E5 1,,http://peckpeck.co.uk/,info@peckpeck.co.uk,,,,51.5464894,-0.0548516,OpenStreetMap
MEDIUM,People's Choice,caribbean,"51C, Chatsworth Road, London, E5 0, London",E5 0,,,,,,,51.553088,-0.0449892,OpenStreetMap
MEDIUM,Perfect Chicken,chicken,"350, Mare Street, London, E5 1, London",E5 1,,,,,,,51.5472835,-0.0546547,OpenStreetMap
MEDIUM,Perfect Fried Chicken,chicken;burger,"13, Well Street, London, E5 1, London",E5 1,,,,,,,51.5401199,-0.0549673,OpenStreetMap
MEDIUM,Perfect Fried Chicken,chicken,"197, Well Street, London, E5 1, London",E5 1,,,,,,,51.5434481,-0.0477821,OpenStreetMap
MEDIUM,Pierrette,cafe,"285, Mare Street, London, E5 1, London",E5 1,,,,,,,51.5444835,-0.055733,OpenStreetMap
MEDIUM,Pittagoras,greek,"18, Sidworth Street, E5 1, London",E5 1,,,,,,,51.5392368,-0.0576929,OpenStreetMap
MEDIUM,Pivaz,turkish,"34, Chatsworth Road, London, E5 0, London",E5 0,+44 20 8985 2599,https://pivaz.co.uk/,info@pivaz.co.uk,,,,51.5526247,-0.0440704,OpenStreetMap
MEDIUM,Pizza GoGo,pizza,"18, Morning Lane, London, E5 1, London",E5 1,+44 20 8533 1377,https://www.pizzagogo.co.uk/stores/hackney,info@pizzagogo.co.uk,,,,51.5459439,-0.0539178,OpenStreetMap
MEDIUM,PizzaExpress,pizza,"298, Mare Street, E5 1, London",E5 1,+44 20 8104 0470,https://www.pizzaexpress.com/hackney-mare-street,info@pizzaexpress.com,,,,51.5455202,-0.0550055,OpenStreetMap
MEDIUM,Pockets,falafel,"Mentmore Terrace, London, E5 1, London",E5 1,,,,,,,51.5388453,-0.0581571,OpenStreetMap
MEDIUM,Pret A Manger,sandwich,"1-3, Amhurst Road, London, E5 1, London",E5 1,,,,,,,51.5472727,-0.0555285,OpenStreetMap
MEDIUM,R & B,caribbean,"10, Clarence Road, E5 0, London",E5 0,,,,,,,51.5499645,-0.0548662,OpenStreetMap
MEDIUM,Rainboww Cook Out,fast_food,"E5 1, Hackney, London",E5 1,,,,,,,51.5476564,-0.0544871,OpenStreetMap
MEDIUM,Romeo's,pizza;burger;sushi,"209, Well Street, E5 1, London",E5 1,+44 20 4501 3613,,,,,,51.5436026,-0.047523,OpenStreetMap
MEDIUM,Rumbles Fish Bar,fish_and_chips,"30, Well Street, London, E5 1, London",E5 1,+44 20 8985 0440,,,,,,51.5399197,-0.0545719,OpenStreetMap
MEDIUM,Running Late,coffee_shop,"E5 1, Hackney, London",E5 1,,,,,,,51.5425713,-0.0554601,OpenStreetMap
MEDIUM,Sea Salt Food & Wine,convenience,"214, Graham Road, London, E5 1, London",E5 1,,,,,,,51.5465311,-0.0566048,OpenStreetMap
MEDIUM,Selen Cafe,cafe,"161, Homerton High Street, E5 0, London",E5 0,+44 20 8986 9175,,,,,,51.5489006,-0.0401222,OpenStreetMap
MEDIUM,Sons,coffee_shop,"Lower Clapton Road, London, E5 0, London",E5 0,,,,,,,51.5483635,-0.0535333,OpenStreetMap
MEDIUM,Souvlakiland,greek,"199A, Homerton High Street, London, E5 0, London",E5 0,+44 20 3581 8240,,,,,,51.5491794,-0.0384826,OpenStreetMap
MEDIUM,Stone Bros Cafe,cafe,"73, Chatsworth Road, London, E5 0, London",E5 0,,,,,,,51.5538856,-0.0451346,OpenStreetMap
MEDIUM,Sunfood Supermarket,convenience,"403, Mare Street, London, E5 1, London",E5 1,,,,,,,51.5489768,-0.0552877,OpenStreetMap
MEDIUM,Sunlight Caribbean,caribbean,"259, Well Street, London, E5 1, London",E5 1,+44 20 8985 5848,https://sunlightcaribbean.co.uk,info@sunlightcaribbean.co.uk,,,,51.5448369,-0.0465989,OpenStreetMap
MEDIUM,Sutton and Sons Fish & Chips,fish_and_chips,"218, Graham Road, London, E5 1, London",E5 1,,https://www.suttonandsons.co.uk/,info@suttonandsons.co.uk,,,,51.5465397,-0.0563957,OpenStreetMap
MEDIUM,Swift Caribbean Delights,caribbean,"27, Homerton High Street, London, E5 0, London",E5 0,,,,,,,51.5482001,-0.0476846,OpenStreetMap
MEDIUM,Sylvie’s Kitchen,caribbean,"216, Graham Road, London, E5 1, London",E5 1,,,,,,,51.5465367,-0.0564693,OpenStreetMap
MEDIUM,T4 Tea For U,bubble_tea,"412, Mare Street, London, E5 0, London",E5 0,,,,,,,51.5494018,-0.0547245,OpenStreetMap
MEDIUM,Tad,turkish,"261, Mare Street, London, E5 1, London",E5 1,+44 20 8986 2612,,,,,,51.5432505,-0.0556601,OpenStreetMap
MEDIUM,Temple of Seitan,burger;chicken;seitan,"10, Morning Lane, London, E5 1, London",E5 1,,https://www.templeofseitan.co.uk/,info@templeofseitan.co.uk,,,,51.5459134,-0.0541747,OpenStreetMap
MEDIUM,The Bagel Bar,cafe,"120B, Lower Clapton Road, London, E5 0, London",E5 0,,,,,,,51.5540257,-0.0535585,OpenStreetMap
MEDIUM,The Barrel Boulangerie,cafe,"1, Chatsworth Road, London, E5 0, London",E5 0,,,,,,,51.5516527,-0.0440137,OpenStreetMap
